dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;dcat.relation;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.parent_domain;default.update_frequency;metadonnees-complementaires.date-observation;metadonnees-complementaires.periode-donnees;metadonnees-complementaires.champ;metadonnees-complementaires.couverture-geographique;metadonnees-complementaires.unite-statistique;metadonnees-complementaires.secret-statistique;datasetid
2025-05-12;2025-05-12;;;;;;;;;;;;;;;;Sites d’histoire et de mémoire en lien avec le racisme, l’antisémitisme et l’antitsiganisme;<p>Cette cartographie permet de piloter la mise en œuvre d’une des mesures phares du plan de lutte contre le racisme, l’antisémitisme et les discriminations liées à l’origine (2023-2026) qui prévoit d’organiser pour chaque élève au moins une visite d’un site de mémoire et d’histoire relatifs aux questions de racisme et d’antisémitisme au cours de la scolarité obligatoire.</p><p>Elle permet de localiser et de présenter différents sites d’histoire et de mémoire en lien avec le racisme, l’antisémitisme et l’antitsiganisme. </p><p>Cet outil a été réalisé à partir de données recueillies sur la plateforme Adage (application dédiée à la généralisation de l’éducation artistique et culturelle), de recensions effectuées par des référents académiques ou des institutions mémorielles.</p><p>Il est mis à disposition des enseignants pour les encourager et les guider dans leurs projets.</p>;;;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-05-14T08:55:50+00:00;False;True;2025-05-14T08:55:50+00:00;2025-09-22T14:27:59.625000+00:00;world;True;World;Point;"{""coordinates"": [[[55.481399931013584, 50.714509966783226], [-61.72959761694074, 50.714509966783226], [-61.72959761694074, -21.20346710085869], [55.481399931013584, -21.20346710085869], [55.481399931013584, 50.714509966783226]]], ""type"": ""Polygon""}";DGESCO - Ministère de l'éducation nationale;;243;;;;;;;False;;;;;;;;;fr-en-lieux-de-memoire
2024-05-21;2024-05-21;;;;;annual;;la rentrée scolaire;;;;;2023-09-14T22:00:00+00:00;2024-09-14T22:00:00+00:00;;;Les évaluations nationales Repères CM1 par département;<p>Ce jeu de données contient les taux de maîtrise par département des élèves de CM1 aux évaluations nationales Repères de français et de mathématiques. Les statistiques sont issues des données consolidées. Ce jeu de données présente les résultats par département et au niveau national.<br><br>Cette évaluation concerne tous les élèves qui entrent en CM1 dans toutes les écoles de France, publiques et privées sous contrat. Elle se déroule en début d'année scolaire, dans le courant du mois de septembre. La date d'évaluation est indiquée comme étant le 15 septembre de chaque année, elle varie de quelques jours d'un établissement à l'autre et d'une année à l'autre.<br></p>;Evaluation des élèves;Évaluations,CM1,taux de maitrise,français,mathématiques;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-03-25T12:57:35.271000+00:00;True;True;2025-03-06T16:09:12+00:00;2025-03-25T12:57:38.905000+00:00;;False;;;;DEPP – Ministère de l’éducation nationale;;10098;;;;;;;False;;;15/09/2024;2023-2024;Établissements scolaires des secteurs public et privé sous contrat;France + Saint-Martin et Saint-Barthélemy rattachées à l’académie de la Guadeloupe;Les élèves de CM1;;fr-en-evaluations_nationales_cm1_departement
;;Paris 2024;;;;;;;;;;;;;;;Carte des Jeux - Road Events (FR);"<p style=""font-family: sans-serif;""><span style=""font-weight: bolder;"">Geodata - Liste des road events de Paris 2024 (FR) </span><br></p>";Sport, jeunesse et vie associative;PARIS2024;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-10-03T22:10:03+00:00;False;False;2024-10-10T09:05:24+00:00;2024-10-31T09:23:53.632000+00:00;;False;;LineString;"{""coordinates"": [[[55.72092102840543, 51.111266263760626], [-149.61447849869728, 51.111266263760626], [-149.61447849869728, -21.389075126498938], [55.72092102840543, -21.389075126498938], [55.72092102840543, 51.111266263760626]]], ""type"": ""Polygon""}";Ministère des Sports;;678;;;;;;;False;;;;;;;;;games_map_road_events_fr
2021-04-15;2021-04-14;DEPP – Ministère en charge de l’éducation nationale;DARES – Ministère en charge du travail;;;threeTimesAYear;France hors Mayotte;Chaque année : emploi salarié mesuré à 6 mois, 12 mois, 18 mois et 24 mois après la sortie d'études;;;;;2018-12-31T23:00:00+00:00;2024-12-30T23:00:00+00:00;;;Inserjeunes Voie professionnelle scolaire par établissement relevant du ministère de l'éducation nationale;"<p>Ces données sont issues du système d'information DEPP/DARES InserJeunes et rendent compte du devenir des lycéens et étudiants inscrits en dernière année d'une formation en voie professionnelle de niveau 3 à 5 (CAP, baccalauréat professionnel, BTS, Mention complémentaire de niveau 3 et 4), dispensée dans un Etablissement Public Local d'Enseignement (EPLE) ou dans un lycée privé sous contrat, sous tutelle du ministère de l'éducation nationale.<br><br>Les indicateurs issus d'InserJeunes au niveau établissement sont calculés pour deux millésimes cumulés :<br><br>- les jeunes inscrits en N et N-1 pour le taux de poursuite d'études et le devenir des jeunes après la formation.<br>- les sortants d'études en N et N-1 pour les taux d'emploi à 6, 12, 18 et 24 mois après la sortie d'études.<br><br>Depuis le cumul 2022-2023, l'insertion professionnelle n'est plus restreinte à l'emploi salarié privé et inclut l'emploi salarié public. Inserjeunes couvre ainsi l’ensemble de l’emploi salarié en France, à l’exception des emplois salariés relevant de particuliers employeurs. L’emploi non salarié ou à l’étranger n'est pas couvert. <br><br>Pour les sortants 2022-2023, seule la situation à 6 et 12 mois est disponible à ce jour. La situation à 18 et 24 mois sera complétée ultérieurement.<br><br>Pour les sortants 2023-2024, seule la situation à 6 mois est disponible à ce jour. La situation à 12, 18 et 24 mois sera complétée ultérieurement.<br><br>Pour en savoir plus :<br><a href=""https://www.education.gouv.fr/insertion-des-lyceens-professionnels-et-etudiants-de-niveau-cap-bts-six-mois-apres-leur-sortie-d-451981"" target=""_blank"">Loiseau C., Jounin É., 2025, ""Insertion des lycéens professionnels et étudiants de niveau CAP à BTS six mois après leur sortie d’études en 2024 - 41 % sont en emploi salarié en janvier 2025"", Note d'Information n° 25-68, DEPP.</a></p><p><a href=""https://www.education.gouv.fr/insertion-des-lyceens-professionnels-et-etudiants-de-niveau-cap-bts-deux-ans-apres-leur-sortie-d-450659"" target=""_blank"">Antoine R., Grandperrin N., 2025, ""Insertion des lycéens professionnels et étudiants de niveau CAP à BTS deux ans après leur sortie d’études en 2022 - 61 % sont en emploi salarié en juillet 2024"", Note d'Information, n° 25-38, DEPP.</a></p>";Elèves, étudiants, et apprentis;établissements,formation professionnelle,élèves,lycéens ,lycée professionnel,insertion professionnelle,poursuite d'études,inserjeunes;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2026-01-20T10:33:13.606000+00:00;True;True;2025-12-18T13:03:17+00:00;2026-01-20T10:33:18.705000+00:00;;False;;;;DEPP – Ministère en charge de l’éducation nationale;;30944;;;;;;;False;;ANNUAL_3;Chaque année : emploi salarié mesuré à 6 mois, 12 mois, 18 mois et 24 mois après la sortie d'études;2019-2024;Etablissements Publics Locaux d'Enseignement (EPLE) ou lycées privés sous contrat, sous tutelle du ministère de l'éducation nationale.;France hors Mayotte;Lycéens et étudiants inscrits en dernière année de formation en voie professionnelle de niveau CAP à BTS en lycée public et privé sous contrat (pour le taux de poursuite d'études) Sortants d'une dernière année de formation en voie professionnelle de niveau CAP à BTS en lycée public et privé sous contrat (pour le taux d'emploi salarié);Pour des raisons de respect de la confidentialité, les statistiques ne sont diffusées que si les effectifs sont supérieurs ou égaux à 20.;fr-en-inserjeunes-lycee_pro
2024-12-19;;;;;;;;;;;;;;;;;Appel à projet Socle Numérique dans les Ecoles Elémentaires - par collectivité;"<p>Dans le cadre du plan de relance, l’AAP SNEE, co-financé par les communes et bénéficiant de fonds 
européens dans le cadre du Plan national de relance et de résilience 
(PNRR), vise à équiper les écoles du 1er degré (cycles 2 et 3) d’un 
socle d’équipement et des services et ressources numériques de base.

    </p><p>Ce jeu de données présente la liste des collectivités bénéficiaires et 
le montant de la subvention versée avec le nombre d'écoles bénéficiaires 
pour l’AAP SNEE.
</p>Plus de détails sur <a href=""https://www.education.gouv.fr/plan-de-relance-continuite-pedagogique-appel-projets-pour-un-socle-numerique-dans-les-ecoles-308341"" target=""_blank"">https://www.education.gouv.fr/plan-de-relance-continuite-pedagogique-appel-projets-pour-un-socle-numerique-dans-les-ecoles-308341</a><p></p>";;snee,collectivités,plan de relance;;;fr;fr;;2024-11-27T16:33:25+00:00;False;False;2025-01-27T10:03:25+00:00;2025-02-06T13:55:44.043000+00:00;;False;;Point;"{""coordinates"": [[[55.75452944263816, 51.072904262691736], [-151.73118204809725, 51.072904262691736], [-151.73118204809725, -21.339617245830595], [55.75452944263816, -21.339617245830595], [55.75452944263816, 51.072904262691736]]], ""type"": ""Polygon""}";;;6870;;;;;;;False;;;;;;;;;fr-en-aap-snee-collectivites
2021-09-07;;;;;;Ponctuelle;France;2020-2022;;;;;2019-12-31T23:00:00+00:00;2022-12-30T23:00:00+00:00;;;Covid 19 - points de situation nationaux;"<div>

<p>Le ministère de
  l'Éducation nationale, de la Jeunesse et des Sports communique chaque
  vendredi (hors période de vacances scolaires des trois zones A, B, C
  simultanément,<b> incluant la semaine suivant la reprise des cours</b>) sur le nombre de structures scolaires (écoles, établissements)
  et de classes fermées ainsi que le nombre de cas de Covid19 confirmés pour
  les élèves et les personnels. <b>Sauf situation exceptionnelle, la période de collecte des données s’étale sur 7 jours, du jeudi à 13h au jeudi suivant à 13h.</b></p>

  <p>L'ensemble des points
  de situation hebdomadaires est consultable sur <a href=""https://www.education.gouv.fr/covid19-points-de-situation-306444"" target=""_blank"">https://www.education.gouv.fr/covid19-points-de-situation-306444.</a><a href=""https://www.education.gouv.fr/covid19-points-de-situation-306444"" target=""_blank""></a></p><p><b><span style=""font-weight: bold"">« A partir du 22/10/2021, les données de l’offre vaccinale en EPLE ne sont plus collectées, la campagne nationale de vaccination
 en établissement scolaire étant terminée [pour la 1<sup>ère</sup> dose]. »</span></b></p>

  <p class=""MsoNormal"">Les données
  utilisent un code pour identifier le protocole sanitaire en vigueur à la date
  de communication du point de situation. Le protocole en vigueur est identifié par le code « protocole_20220314 » et prévoit les mesures suivantes :
</p>
<i>A compter du 14 mars 2022, le protocole de niveau 1
 s'applique dans les écoles du primaire ainsi que les collèges et 
lycées. Compte tenu de l'évolution favorable de la situation sanitaire, 
l'obligation du port du masque en intérieur est
 également levée pour l'ensemble des personnels ainsi que pour les 
collégiens et lycéens.</i></div>";Elèves, étudiants, et apprentis,Etablissements (dont IPS);santé,covid 19;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-02-19T13:42:56.293000+00:00;True;True;2022-04-20T14:49:01+00:00;2025-02-19T13:43:01.012000+00:00;world_fr;True;France;;;Délégation à la communication - Ministère de l'Éducation nationale;;58;;;;;;;False;;;;;;;;;fr-en-situation_nationale_covid
;;;;;;;;;;;;;;;;;Retours formulaire - votre avis - Thèmes attendus;;;;;;fr;fr;;2023-04-04T11:43:34+00:00;False;False;2023-04-21T13:20:45+00:00;2023-04-21T13:20:45.541000+00:00;;False;;;;;;37;;;;;;;False;;;;;;;;;retours-formulaire-votre-avis-themes-attendus
;;;;;;annual;France + Saint-Martin et Saint-Barthélemy rattachées à l’académie de la Guadeloupe;le mois de janvier;;;;;;;;;Les évaluations nationales Repères de mi-CP par département;"<p>Ce jeu de données contient les taux de maîtrise par académie des élèves 
de CP aux évaluations nationales Repères de mi-CP en français et en 
mathématiques. Les statistiques sont issues des données consolidées. Ce 
jeu de données présente les résultats par département et au niveau 
national.<br><br>L'évaluation de mi-CP concerne tous les élèves qui 
entrent au CP dans toutes les écoles de France, publiques et privées 
sous contrat. Elle se déroule dans le courant du mois de janvier. La 
date d'évaluation est indiquée comme étant le 15 janvier de chaque 
année, elle varie de quelques jours d'un établissement à l'autre et 
d'une année à l'autre.</p>";Evaluation des élèves;Évaluations,mi-CP,taux de maitrise,mathématiques,français;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-09-03T14:56:08.580000+00:00;True;False;2025-07-08T16:45:06+00:00;2025-09-03T14:56:53.504000+00:00;;False;;;;DEPP – Ministère de l’éducation nationale;;25662;;;;;;;False;;ANNUAL;15/01/2025;2020-2025;Établissements scolaires des secteurs public et privé sous contrat;France + Saint-Martin et Saint-Barthélemy rattachées à l’académie de la Guadeloupe;Les élèves de CP;;fr-en-evaluations_nationales_mi_cp_departement
;;Paris 2024;;;;;;;;;;;;;;;Carte des Jeux - Evènements (EN);"<p><span style=""font-weight: 700;"">Geodata -</span> Liste des événements de Paris 2024 (EN)<br></p>";Sport, jeunesse et vie associative;PARIS2024;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-10-04T15:00:31+00:00;False;False;2024-10-10T15:53:12+00:00;2024-10-31T09:24:00.932000+00:00;;False;;Point;"{""coordinates"": [[[166.46718816831708, 59.91979598533362], [-149.61582127958536, 59.91979598533362], [-149.61582127958536, -22.22839767113328], [166.46718816831708, -22.22839767113328], [166.46718816831708, 59.91979598533362]]], ""type"": ""Polygon""}";Ministère des Sports;;9003;;;;;;;False;;;;;;;;;games_map_events_en
;;Paris 2024;;;;irregular;;;;;;;;;;;[IDFM] - Parkings relais Paris 2024 (FR);;Sport, jeunesse et vie associative;;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-10-10T14:47:04.604000+00:00;True;True;2024-10-07T15:05:39+00:00;2024-10-30T15:22:07.637000+00:00;;False;;Point;;Ministère des Sports;;43;;;;;;;False;;;;;;;;;idfm-parkings-relais-paris-2024-fr
;;;;;;Ponctuelle;France;2022-2023;;;;;2021-12-31T23:00:00+00:00;2023-12-30T23:00:00+00:00;;;DNMA - Métriques par UAI croisées par les services;"<p>Le DNMA des ENT est un dispositif de suivi de fréquentation reposant sur
 une solution de marquage externe. </p><p><span>Mesures</span> hebdomadaires par établissement croisées par les services.</p><p><br></p>";Politique éducative (dont éducation prioritaire);ENT,Espace Numérique de Travail,collectivités territoriales,personnels enseignants,personnels non enseignants,personnels administratifs,collèges,lycées,écoles,collégiens,lycéens,écoliers,équipements,matériel,ordinateur,browser,navigateur,smartphone,tablette,ressources numériques éducatives,ressources,médiacentre,vie scolaire,services pédagogiques,DNMA,Dispositif National de Mesure d'Audience;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2026-01-07T23:48:56+00:00;True;True;2026-01-07T23:48:56+00:00;2026-01-21T23:00:15.766000+00:00;;False;;;;DNE - Ministère de l'Education Nationale;;1326662;;;;;;;False;;;;;;;;;fr-en-dnma-par-uai-services
;;Paris 2024;;;;;;;;;;;;;;;Paris 2024 - Zones de dépose reprise accrédités et spectateurs;"<p class=""trailer-half break-word"" style='margin-bottom: 0.75rem; overflow-wrap: break-word; max-width: 100%; color: rgb(76, 76, 76); font-family: ""Avenir Next W01"", ""Avenir Next W00"", ""Avenir Next"", Avenir, ""Helvetica Neue"", sans-serif; font-size: 16px;'><span class=""js-view if-snippet break-word"" style=""overflow-wrap: break-word; max-width: 100%; display: inherit;"">Localisation des zones de dépose reprise des accrédités et des spectateurs aux abord des sites.</span></p>";Sport, jeunesse et vie associative;loadzone,transport,mobilité;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-10-01T10:02:07+00:00;False;False;2024-10-10T13:28:55+00:00;2024-10-10T13:28:56.894000+00:00;;False;;Point;;Ministère des Sports;;1461;;;;;;;False;;;;;;;;;paris-2024-zones-de-depose-reprise-accredites-spectateurs
2019-07-16;2019-07-16;;;;;Ponctuelle;France;2019;;;;;2018-12-31T23:00:00+00:00;2019-12-30T23:00:00+00:00;;;Compléments aux programmes d'enseignement du second degré;<p>Les attendus de fin d'année et les repères annuels de progression   doivent permettre aux équipes pédagogiques de mener un enseignement   rigoureux, explicite et progressif tout au long de la scolarité   obligatoire. Ils apportent une aide aux professeurs pour mieux organiser   leur année. Ils offrent des références communes pour que les   connaissances, compétences, notions et objets d'enseignement soient   abordés de façon équilibrée tout au long des trois années de chaque   cycle.</p>;Enseignements (dont formation, spécialité, langue, sport),Politique éducative (dont éducation prioritaire);programmes d'enseignement;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-02-19T11:19:58.393000+00:00;True;True;2019-07-16T12:43:39+00:00;2025-02-19T11:20:01.363000+00:00;world_fr;True;France;;;DGESCO - Ministère de l'éducation nationale;;14;;;;;;;False;;;;;;;;;fr-en-complements-programmes-second-degre
2025-01-26;2025-03-06;;;;;annual;France + Saint-Martin et Saint-Barthélemy rattachées à l’académie de la Guadeloupe;la rentrée scolaire;;;;;2019-09-14T22:00:00+00:00;2024-09-14T22:00:00+00:00;;;Résultats consolidés aux évaluations nationales de début de seconde professionnelle par région académique;<p>Ce jeu de données contient les scores moyens et les écarts types, ainsi que les répartitions dans les groupes des élèves de seconde professionnelle aux tests de positionnement de français et de mathématiques. Les statistiques sont issues des données consolidées. Les données sont présentées par région académique et au niveau national.<br></p>;Evaluation des élèves;évaluations,seconde,scores,groupe;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-07-08T07:20:42.154000+00:00;True;True;2025-02-18T15:33:16+00:00;2025-07-08T07:21:30.694000+00:00;;False;;;;DEPP – Ministère de l’éducation nationale;;684;;;;;;;False;;ANNUAL;15/09/2024;2019-2024;Public et privé sous contrat sous tutelle du ministère de l'éducation nationale;France + Saint-Martin et Saint-Barthélemy rattachées à l’académie de la Guadeloupe;Les élèves de seconde professionnelle;;fr-en-evaluations_nationales_2depro_region
2024-09-12;2024-09-12;;;;;annual;;;;;;;;;;;Nombre de lits dans les internats des établissements publics du second degré;"<table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""586""><colgroup><col width=""586""/></colgroup><tbody><tr height=""520"">
  <td class=""xl65"" height=""520"" style=""height:390.0pt;width:440pt"" width=""586"">Chaque
  année, l'enquête Immobilier - Cadre de vie recense les lits d'internat et
  combien d'entre eux sont occupés. Le établissements ventilent ces lits par
  niveau pré-bac ou post-bac et par genre. Seuls les établissements publics du
  second degré sont interrogés. S’agissant de données d’enquête, les
  informations relatives au nombre de lits ne sont parfois pas renseignées, ou
  de façon incomplète, par les établissements (valeurs manquantes). Le jeu de
  données ne permet donc pas de calculer des agrégats, notamment au niveau
  national, mais uniquement de disposer d’informations au niveau de chaque
  établissement.<br>
    <br>
    Une cité scolaire est un ensemble immobilier constitué d’au moins 2
  établissements scolaires publics qui utilisent en commun des locaux, et dont
  au moins un est un établissement du 2nd degré. La variable binaire
  cite_scolaire indique 1 si l'établissement est en cité scolaire, 0 sinon.
  <br>
    <br>
    Si l'établissement est en cité scolaire, alors les données sont agrégées au
  niveau de la cité scolaire. L'UAI correspond à l'UAI de l'établissement tête
  de cité scolaire. <br>
    <br>
    Ce jeu de données <font class=""font6"">recense</font><font class=""font5"">
  les établissements qui ont un internat dépendant. Cependant, d'autres
  établissements peuvent proposer le service d'internat sans avoir d'internat,
  c'est-à-dire que les élèves internes de l'établissements sont hébergés dans
  un internat dépendant d'un autre établissement. Ceux-ci ne figurent pas dans
  le jeu de données. <br>
    <br>
    Les indicateurs ont été calculés à partir des données récoltées en 2022 à
  cause d'erreurs dans les remontées des données en 2023.<br>
    <br>
    </font></td>
</tr></tbody></table>";Etablissements (dont IPS);internat,lits,collège,lycée,EREA;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-02-20T15:38:04.652000+00:00;True;True;2024-09-13T08:13:46+00:00;2025-02-20T15:38:10.507000+00:00;;False;;;;DEPP – Ministère de l’éducation nationale;;1623;;;;;;;False;;;01/12/2022;2022;Collèges, lycées et EREA publics;France;Les établissements;;fr-en-lits-internats-publics-2d
2024-02-08;;;;;;Ponctuelle;France;2022;;;;;2021-12-31T23:00:00+00:00;2022-12-30T23:00:00+00:00;;;Pix - Nombre de participations aux sessions de certification de profils Pix par classe et établissement;<p>Ce jeu de données reprend les sessions de certifications de l'ensemble des collèges et lycées publics et privés sous contrat (hors établissements agricoles et établissements français à l'étranger). Ces sessions sont agrégées par établissement et classe.<br></p>;Elèves, étudiants, et apprentis;collèges,lycées;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2025-08-21T15:55:57+00:00;True;True;2025-08-21T15:55:57+00:00;2025-08-21T15:55:58.190000+00:00;;False;;Point;"{""coordinates"": [[[55.82546406425536, 51.07081616297364], [-63.07941989041865, 51.07081616297364], [-63.07941989041865, -21.381414863280952], [55.82546406425536, -21.381414863280952], [55.82546406425536, 51.07081616297364]]], ""type"": ""Polygon""}";Groupement d’intérêt public « Pix »;;55881;;;;;;;False;;;;;;;;;fr-en-pix_certifications_par_classes
2016-12-07;;;;;;;;;;;;;;;;;Étude TIMSS : scores moyens par disciplines et domaines;"<p class=""MsoNormal"">Depuis 1995, TIMSS mesure les performances des 
élèves en mathématiques et en sciences par niveau scolaire et s'appuie, 
pour les évaluer, sur les programmes d'enseignement communs aux pays 
participants. Ce jeu de données présente les scores
 moyens obtenus par pays ou groupe de pays, discipline et domaine.</p>

<p class=""MsoNormal"">Ce jeu de données ne fait plus l’objet d’actualisations.</p>

<p class=""MsoNormal"">Des informations sur l’évaluation Timss sont disponibles sur les pages suivantes :</p>

<p class=""MsoNormal""><a href=""https://www.education.gouv.fr/timss-evaluer-les-competences-des-eleves-de-cm1-et-de-4e-en-mathematiques-et-en-sciences-308600"">https://www.education.gouv.fr/timss-evaluer-les-competences-des-eleves-de-cm1-et-de-4e-en-mathematiques-et-en-sciences-308600</a></p>
<a href=""https://timssandpirls.bc.edu/timss-landing.html"">https://timssandpirls.bc.edu/timss-landing.html</a><p></p><p><a href=""http://www.education.gouv.fr/cid110041/mathematiques-et-sciences-resultats-de-l-etude-timss-2015.html"" target=""_blank""><span style=""display:none"">suivre le lien</span></a></p>";Elèves, étudiants, et apprentis,Evaluation des élèves,Diplômes et examens;acquis,élèves,évaluation;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2016-12-07T10:01:36+00:00;False;False;2024-03-12T15:51:33+00:00;2024-09-30T13:31:37.557000+00:00;world_fr;True;France;;;DEPP – Ministère de l’éducation nationale;;72;;;;;;;False;;;;;;;;;fr-en-scores-timss
;;;;;;;;;;;;;;;;;dataviz4;<p>Jeu de données technique, utilisé par une page de dataviz.<br></p>;;hors catalogue;Licence Ouverte v2.0 (Etalab);http://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2010-01-01T09:41:02+00:00;False;False;2024-09-30T13:29:53+00:00;2024-09-30T13:29:53.779000+00:00;;False;;Point;"{""coordinates"": [[[45.22888689301908, 50.960375452414155], [-4.096810659393668, 50.960375452414155], [-4.096810659393668, -12.76726474519819], [45.22888689301908, -12.76726474519819], [45.22888689301908, 50.960375452414155]]], ""type"": ""Polygon""}";DEPP – Ministère de l’éducation nationale;;626;;;;;;;False;;;;;;;;;dataviz-ips-erea
